Environmental Brain Cube Suitability Log

=== RUN1 START ===
runLabel,millis,elapsedSec,lightMin,lightMax,lightState,bmeTempMin,bmeTempMax,bmeHumMin,bmeHumMax,bmePresMin,bmePresMax,dsTempMin,dsTempMax,battMin,battMax,solarMin,solarMax,axMin,axMax,ayMin,ayMax,azMin,azMax,gxMin,gxMax,gyMin,gyMax,gzMin,gzMax,tempWarn,humWarn,presWarn
RUN3,72662,64.06,3330,3411,NORMAL,23.20,23.20,44.75,44.82,1008.06,1008.10,20.62,20.62,5.69,5.91,4.87,4.91,0.247,0.361,-0.811,-0.634,8.864,9.075,0.72,1.08,0.85,1.24,-1.78,-1.31,0,0,0
RUN3,74667,66.07,3337,3465,NORMAL,23.19,23.20,44.71,44.95,1008.06,1008.09,20.62,20.62,5.68,5.90,4.81,4.92,0.098,0.388,-1.194,-0.649,8.893,9.199,-3.06,8.57,-1.88,5.69,-1.79,0.40,0,0,0
RUN3,76698,68.10,3357,3415,NORMAL,23.18,23.19,44.94,46.58,1008.04,1008.08,20.62,20.62,5.68,5.90,4.80,4.85,-0.153,0.598,-0.972,-0.464,8.804,9.202,-0.60,1.34,0.10,2.96,-1.90,-1.22,0,0,0
RUN3,78729,70.13,3381,3411,NORMAL,23.16,23.18,46.82,47.16,1008.06,1008.08,20.62,20.62,5.68,5.90,4.80,4.84,0.077,0.859,-0.843,-0.215,8.282,9.144,-0.39,3.66,0.20,7.33,-2.16,-1.15,0,0,0
RUN3,80737,72.14,3385,3440,NORMAL,23.16,23.17,47.22,47.60,1008.07,1008.09,20.62,20.62,5.67,5.90,4.81,4.83,-0.151,1.467,-1.037,-0.014,8.692,9.403,-0.95,3.49,-8.26,5.10,-2.18,-1.29,0,0,0
RUN3,82769,74.17,3379,3430,NORMAL,23.15,23.15,47.85,48.74,1008.06,1008.08,20.62,20.62,5.67,5.90,4.80,4.82,0.101,0.682,-1.388,-0.618,8.807,9.137,-0.58,2.89,0.11,2.17,-1.95,-1.22,0,0,0
RUN3,84801,76.20,3389,3437,NORMAL,23.13,23.14,48.95,49.78,1008.07,1008.11,20.56,20.62,5.67,5.90,4.79,4.83,-0.462,0.395,-1.149,-0.673,8.393,9.053,0.60,0.95,0.73,2.73,-2.21,-1.42,0,0,0
RUN3,86807,78.21,3339,3504,NORMAL,23.10,23.13,48.98,49.97,1008.07,1008.10,20.62,20.62,5.67,5.89,4.81,4.94,0.081,0.342,-0.862,-0.663,8.859,9.068,0.64,1.40,0.68,1.26,-1.79,-1.49,0,0,0
RUN3,88837,80.24,3337,3373,NORMAL,23.09,23.10,46.96,48.54,1008.07,1008.10,20.62,20.62,5.67,5.90,4.86,4.89,0.242,0.381,-0.768,-0.639,8.881,9.037,0.44,0.95,0.78,1.21,-1.69,-1.41,0,0,0
RUN3,90869,82.27,3325,3374,NORMAL,23.08,23.08,46.37,46.77,1008.06,1008.09,20.56,20.62,5.67,5.90,4.86,4.90,0.261,0.388,-0.811,-0.673,8.833,9.051,0.68,0.98,0.86,1.21,-1.85,-1.46,0,0,0
